name,EOS,A(km),omega_0(rad/s),ndata
A10000w2.00_SFHo,SFHo,10000,2,15624
A10000w2.00_SFHx,SFHx,10000,2,15621
A10000w2.50_BHBL,BHBL,10000,2,16054
A10000w2.50_BHBLP,BHBLP,10000,2,16054
A10000w2.50_GShenFSU1.7,GShenFSU1.7,10000,2,21485
A10000w2.50_GShenFSU2.1,GShenFSU2.1,10000,2,21484
A10000w2.50_GShenNL3,GShenNL3,10000,2,23919
A10000w2.50_HSDD2,HSDD2,10000,2,16065
A10000w2.50_HSFSG,HSFSG,10000,2,16065
A10000w2.50_HSIUF,HSIUF,10000,2,16063
A10000w2.50_HSNL3,HSNL3,10000,2,16060
A10000w2.50_HSTM1,HSTM1,10000,2,16047
A10000w2.50_HSTMA,HSTMA,10000,2,16067
A10000w2.50_HShen,HShen,10000,2,13787
A10000w2.50_HShenH,HShenH,10000,2,13774
A10000w2.50_LS180,LS180,10000,2,16933
A10000w2.50_LS220,LS220,10000,2,16802
A10000w2.50_LS375,LS375,10000,2,16629
A10000w2.50_SFHo,SFHo,10000,2,16061
A10000w2.50_SFHx,SFHx,10000,2,16056
A10000w3.00_BHBL,BHBL,10000,3,16668
A10000w3.00_BHBLP,BHBLP,10000,3,16670
A10000w3.00_GShenFSU1.7,GShenFSU1.7,10000,3,23762
A10000w3.00_GShenFSU2.1,GShenFSU2.1,10000,3,23762
A10000w3.00_GShenNL3,GShenNL3,10000,3,27818
A10000w3.00_HSDD2,HSDD2,10000,3,16678
A10000w3.00_HSFSG,HSFSG,10000,3,16674
A10000w3.00_HSIUF,HSIUF,10000,3,16675
A10000w3.00_HSNL3,HSNL3,10000,3,16674
A10000w3.00_HSTM1,HSTM1,10000,3,16647
A10000w3.00_HSTMA,HSTMA,10000,3,16601
A10000w3.00_HShen,HShen,10000,3,14093
A10000w3.00_HShenH,HShenH,10000,3,14083
A10000w3.00_LS180,LS180,10000,3,17763
A10000w3.00_LS220,LS220,10000,3,17596
A10000w3.00_LS375,LS375,10000,3,17399
A10000w3.00_SFHo,SFHo,10000,3,16676
A10000w3.00_SFHx,SFHx,10000,3,16668
A10000w3.50_BHBL,BHBL,10000,3,17536
A10000w3.50_BHBLP,BHBLP,10000,3,17535
A10000w3.50_GShenFSU1.7,GShenFSU1.7,10000,3,28770
A10000w3.50_GShenFSU2.1,GShenFSU2.1,10000,3,28631
A10000w3.50_GShenNL3,GShenNL3,10000,3,41945
A10000w3.50_HSDD2,HSDD2,10000,3,17548
A10000w3.50_HSFSG,HSFSG,10000,3,17550
A10000w3.50_HSIUF,HSIUF,10000,3,17421
A10000w3.50_HSNL3,HSNL3,10000,3,17545
A10000w3.50_HSTM1,HSTM1,10000,3,17346
A10000w3.50_HSTMA,HSTMA,10000,3,17312
A10000w3.50_HShen,HShen,10000,3,14500
A10000w3.50_HShenH,HShenH,10000,3,14488
A10000w3.50_LS180,LS180,10000,3,19025
A10000w3.50_LS220,LS220,10000,3,18809
A10000w3.50_LS375,LS375,10000,3,18554
A10000w3.50_SFHo,SFHo,10000,3,17550
A10000w3.50_SFHx,SFHx,10000,3,17538
A10000w4.00_BHBL,BHBL,10000,4,18836
A10000w4.00_BHBLP,BHBLP,10000,4,18838
A10000w4.00_GShenFSU1.7,GShenFSU1.7,10000,4,69200
A10000w4.00_GShenFSU2.1,GShenFSU2.1,10000,4,68416
A10000w4.00_GShenNL3,GShenNL3,10000,4,70440
A10000w4.00_HSDD2,HSDD2,10000,4,18852
A10000w4.00_HSFSG,HSFSG,10000,4,18700
A10000w4.00_HSIUF,HSIUF,10000,4,18855
A10000w4.00_HSNL3,HSNL3,10000,4,18849
A10000w4.00_HSTM1,HSTM1,10000,4,18847
A10000w4.00_HSTMA,HSTMA,10000,4,18857
A10000w4.00_HShen,HShen,10000,4,15032
A10000w4.00_HShenH,HShenH,10000,4,15017
A10000w4.00_LS180,LS180,10000,4,21195
A10000w4.00_LS220,LS220,10000,4,20869
A10000w4.00_LS375,LS375,10000,4,20479
A10000w4.00_SFHo,SFHo,10000,4,18849
A10000w4.00_SFHx,SFHx,10000,4,18847
A10000w4.50_BHBL,BHBL,10000,4,21010
A10000w4.50_BHBLP,BHBLP,10000,4,21011
A10000w4.50_GShenFSU1.7,GShenFSU1.7,10000,4,76342
A10000w4.50_GShenFSU2.1,GShenFSU2.1,10000,4,76360
A10000w4.50_GShenNL3,GShenNL3,10000,4,78127
A10000w4.50_HSDD2,HSDD2,10000,4,21040
A10000w4.50_HSFSG,HSFSG,10000,4,21042
A10000w4.50_HSIUF,HSIUF,10000,4,21044
A10000w4.50_HSNL3,HSNL3,10000,4,21035
A10000w4.50_HSTM1,HSTM1,10000,4,21034
A10000w4.50_HSTMA,HSTMA,10000,4,21048
A10000w4.50_HShen,HShen,10000,4,15751
A10000w4.50_HShenH,HShenH,10000,4,15729
A10000w4.50_LS180,LS180,10000,4,26408
A10000w4.50_LS220,LS220,10000,4,25714
A10000w4.50_LS375,LS375,10000,4,24750
A10000w4.50_SFHo,SFHo,10000,4,21038
A10000w4.50_SFHx,SFHx,10000,4,21028
A10000w5.00_BHBL,BHBL,10000,5,25846
A10000w5.00_BHBLP,BHBLP,10000,5,25847
A10000w5.00_GShenFSU1.7,GShenFSU1.7,10000,5,67869
A10000w5.00_GShenFSU2.1,GShenFSU2.1,10000,5,68337
A10000w5.00_GShenNL3,GShenNL3,10000,5,68416
A10000w5.00_HSDD2,HSDD2,10000,5,25948
A10000w5.00_HSFSG,HSFSG,10000,5,25892
A10000w5.00_HSIUF,HSIUF,10000,5,25806
A10000w5.00_HSNL3,HSNL3,10000,5,25941
A10000w5.00_HSTM1,HSTM1,10000,5,25930
A10000w5.00_HSTMA,HSTMA,10000,5,25956
A10000w5.00_HShen,HShen,10000,5,16757
A10000w5.00_HShenH,HShenH,10000,5,16733
A10000w5.00_LS180,LS180,10000,5,67173
A10000w5.00_LS220,LS220,10000,5,66831
A10000w5.00_LS375,LS375,10000,5,66147
A10000w5.00_SFHo,SFHo,10000,5,25931
A10000w5.00_SFHx,SFHx,10000,5,25917
A10000w5.50_BHBL,BHBL,10000,5,58130
A10000w5.50_BHBLP,BHBLP,10000,5,60308
A10000w5.50_GShenFSU1.7,GShenFSU1.7,10000,5,72958
A10000w5.50_GShenFSU2.1,GShenFSU2.1,10000,5,73342
A10000w5.50_GShenNL3,GShenNL3,10000,5,73100
A10000w5.50_HSDD2,HSDD2,10000,5,70045
A10000w5.50_HSFSG,HSFSG,10000,5,66517
A10000w5.50_HSIUF,HSIUF,10000,5,76119
A10000w5.50_HSNL3,HSNL3,10000,5,69496
A10000w5.50_HSTM1,HSTM1,10000,5,65798
A10000w5.50_HSTMA,HSTMA,10000,5,66453
A10000w5.50_HShen,HShen,10000,5,18290
A10000w5.50_HShenH,HShenH,10000,5,18031
A10000w5.50_LS180,LS180,10000,5,76313
A10000w5.50_LS220,LS220,10000,5,77020
A10000w5.50_LS375,LS375,10000,5,76878
A10000w5.50_SFHo,SFHo,10000,5,74144
A10000w5.50_SFHx,SFHx,10000,5,108507
A1268w0.50_BHBL,BHBL,1268,0,14976
A1268w0.50_BHBLP,BHBLP,1268,0,14972
A1268w0.50_GShenFSU1.7,GShenFSU1.7,1268,0,18515
A1268w0.50_GShenFSU2.1,GShenFSU2.1,1268,0,18515
A1268w0.50_GShenNL3,GShenNL3,1268,0,19700
A1268w0.50_HSDD2,HSDD2,1268,0,14977
A1268w0.50_HSFSG,HSFSG,1268,0,14980
A1268w0.50_HSIUF,HSIUF,1268,0,14978
A1268w0.50_HSNL3,HSNL3,1268,0,14976
A1268w0.50_HSTM1,HSTM1,1268,0,14977
A1268w0.50_HSTMA,HSTMA,1268,0,14982
A1268w0.50_HShen,HShen,1268,0,13191
A1268w0.50_HShenH,HShenH,1268,0,13182
A1268w0.50_LS180,LS180,1268,0,15573
A1268w0.50_LS220,LS220,1268,0,15473
A1268w0.50_LS375,LS375,1268,0,15176
A1268w0.50_SFHo,SFHo,1268,0,14980
A1268w0.50_SFHx,SFHx,1268,0,14975
A1268w1.00_BHBL,BHBL,1268,1,15051
A1268w1.00_BHBLP,BHBLP,1268,1,15055
A1268w1.00_GShenFSU1.7,GShenFSU1.7,1268,1,18691
A1268w1.00_GShenFSU2.1,GShenFSU2.1,1268,1,18688
A1268w1.00_GShenNL3,GShenNL3,1268,1,19763
A1268w1.00_HSDD2,HSDD2,1268,1,15057
A1268w1.00_HSFSG,HSFSG,1268,1,15060
A1268w1.00_HSIUF,HSIUF,1268,1,15061
A1268w1.00_HSNL3,HSNL3,1268,1,15061
A1268w1.00_HSTM1,HSTM1,1268,1,15058
A1268w1.00_HSTMA,HSTMA,1268,1,15059
A1268w1.00_HShen,HShen,1268,1,13242
A1268w1.00_HShenH,HShenH,1268,1,13234
A1268w1.00_LS180,LS180,1268,1,15671
A1268w1.00_LS220,LS220,1268,1,15570
A1268w1.00_LS375,LS375,1268,1,15442
A1268w1.00_SFHo,SFHo,1268,1,15060
A1268w1.00_SFHx,SFHx,1268,1,15055
A1268w1.50_BHBL,BHBL,1268,1,15188
A1268w1.50_BHBLP,BHBLP,1268,1,15193
A1268w1.50_GShenFSU1.7,GShenFSU1.7,1268,1,18994
A1268w1.50_GShenFSU2.1,GShenFSU2.1,1268,1,18994
A1268w1.50_GShenNL3,GShenNL3,1268,1,20316
A1268w1.50_HSDD2,HSDD2,1268,1,15194
A1268w1.50_HSFSG,HSFSG,1268,1,15197
A1268w1.50_HSIUF,HSIUF,1268,1,15195
A1268w1.50_HSNL3,HSNL3,1268,1,15194
A1268w1.50_HSTM1,HSTM1,1268,1,15190
A1268w1.50_HSTMA,HSTMA,1268,1,15199
A1268w1.50_HShen,HShen,1268,1,13322
A1268w1.50_HShenH,HShenH,1268,1,13314
A1268w1.50_LS180,LS180,1268,1,15840
A1268w1.50_LS220,LS220,1268,1,15738
A1268w1.50_LS375,LS375,1268,1,15604
A1268w1.50_SFHo,SFHo,1268,1,15195
A1268w1.50_SFHx,SFHx,1268,1,15189
A1268w2.00_BHBL,BHBL,1268,2,15387
A1268w2.00_BHBLP,BHBLP,1268,2,15391
A1268w2.00_GShenFSU1.7,GShenFSU1.7,1268,2,19456
A1268w2.00_GShenFSU2.1,GShenFSU2.1,1268,2,19457
A1268w2.00_GShenNL3,GShenNL3,1268,2,20918
A1268w2.00_HSDD2,HSDD2,1268,2,15392
A1268w2.00_HSFSG,HSFSG,1268,2,15395
A1268w2.00_HSIUF,HSIUF,1268,2,15394
A1268w2.00_HSNL3,HSNL3,1268,2,15396
A1268w2.00_HSTM1,HSTM1,1268,2,15389
A1268w2.00_HSTMA,HSTMA,1268,2,15398
A1268w2.00_HShen,HShen,1268,2,13437
A1268w2.00_HShenH,HShenH,1268,2,13431
A1268w2.00_LS180,LS180,1268,2,16093
A1268w2.00_LS220,LS220,1268,2,15981
A1268w2.00_LS375,LS375,1268,2,15844
A1268w2.00_SFHo,SFHo,1268,2,15389
A1268w2.00_SFHx,SFHx,1268,2,15388
A1268w2.50_BHBL,BHBL,1268,2,15662
A1268w2.50_BHBLP,BHBLP,1268,2,15656
A1268w2.50_GShenFSU1.7,GShenFSU1.7,1268,2,20116
A1268w2.50_GShenFSU2.1,GShenFSU2.1,1268,2,19975
A1268w2.50_GShenNL3,GShenNL3,1268,2,21798
A1268w2.50_HSDD2,HSDD2,1268,2,15661
A1268w2.50_HSFSG,HSFSG,1268,2,15663
A1268w2.50_HSIUF,HSIUF,1268,2,15668
A1268w2.50_HSNL3,HSNL3,1268,2,15663
A1268w2.50_HSTM1,HSTM1,1268,2,15662
A1268w2.50_HSTMA,HSTMA,1268,2,15666
A1268w2.50_HShen,HShen,1268,2,13602
A1268w2.50_HShenH,HShenH,1268,2,13592
A1268w2.50_LS180,LS180,1268,2,16439
A1268w2.50_LS220,LS220,1268,2,16318
A1268w2.50_LS375,LS375,1268,2,16173
A1268w2.50_SFHo,SFHo,1268,2,15663
A1268w2.50_SFHx,SFHx,1268,2,15658
A1268w3.00_BHBL,BHBL,1268,3,16015
A1268w3.00_BHBLP,BHBLP,1268,3,16018
A1268w3.00_GShenFSU1.7,GShenFSU1.7,1268,3,21048
A1268w3.00_GShenFSU2.1,GShenFSU2.1,1268,3,20914
A1268w3.00_GShenNL3,GShenNL3,1268,3,23095
A1268w3.00_HSDD2,HSDD2,1268,3,16022
A1268w3.00_HSFSG,HSFSG,1268,3,16023
A1268w3.00_HSIUF,HSIUF,1268,3,16022
A1268w3.00_HSNL3,HSNL3,1268,3,16021
A1268w3.00_HSTM1,HSTM1,1268,3,16018
A1268w3.00_HSTMA,HSTMA,1268,3,16025
A1268w3.00_HShen,HShen,1268,3,13800
A1268w3.00_HShenH,HShenH,1268,3,13792
A1268w3.00_LS180,LS180,1268,3,16907
A1268w3.00_LS220,LS220,1268,3,16779
A1268w3.00_LS375,LS375,1268,3,16615
A1268w3.00_SFHo,SFHo,1268,3,16020
A1268w3.00_SFHx,SFHx,1268,3,16018
A1268w3.50_BHBL,BHBL,1268,3,16477
A1268w3.50_BHBLP,BHBLP,1268,3,16478
A1268w3.50_GShenFSU1.7,GShenFSU1.7,1268,3,22351
A1268w3.50_GShenFSU2.1,GShenFSU2.1,1268,3,22379
A1268w3.50_GShenNL3,GShenNL3,1268,3,25064
A1268w3.50_HSDD2,HSDD2,1268,3,16487
A1268w3.50_HSFSG,HSFSG,1268,3,16484
A1268w3.50_HSIUF,HSIUF,1268,3,16486
A1268w3.50_HSNL3,HSNL3,1268,3,16483
A1268w3.50_HSTM1,HSTM1,1268,3,16479
A1268w3.50_HSTMA,HSTMA,1268,3,16488
A1268w3.50_HShen,HShen,1268,3,14058
A1268w3.50_HShenH,HShenH,1268,3,14042
A1268w3.50_LS180,LS180,1268,3,17531
A1268w3.50_LS220,LS220,1268,3,17388
A1268w3.50_LS375,LS375,1268,3,17209
A1268w3.50_SFHo,SFHo,1268,3,16482
A1268w3.50_SFHx,SFHx,1268,3,16478
A1268w4.00_BHBL,BHBL,1268,4,17080
A1268w4.00_BHBLP,BHBLP,1268,4,17083
A1268w4.00_GShenFSU1.7,GShenFSU1.7,1268,4,24406
A1268w4.00_GShenFSU2.1,GShenFSU2.1,1268,4,24404
A1268w4.00_GShenNL3,GShenNL3,1268,4,28253
A1268w4.00_HSDD2,HSDD2,1268,4,17091
A1268w4.00_HSFSG,HSFSG,1268,4,17092
A1268w4.00_HSIUF,HSIUF,1268,4,17091
A1268w4.00_HSNL3,HSNL3,1268,4,17088
A1268w4.00_HSTM1,HSTM1,1268,4,17036
A1268w4.00_HSTMA,HSTMA,1268,4,17017
A1268w4.00_HShen,HShen,1268,4,14375
A1268w4.00_HShenH,HShenH,1268,4,14366
A1268w4.00_LS180,LS180,1268,4,18389
A1268w4.00_LS220,LS220,1268,4,18219
A1268w4.00_LS375,LS375,1268,4,18013
A1268w4.00_SFHo,SFHo,1268,4,17088
A1268w4.00_SFHx,SFHx,1268,4,17085
A1268w4.50_BHBL,BHBL,1268,4,17876
A1268w4.50_BHBLP,BHBLP,1268,4,17878
A1268w4.50_GShenFSU1.7,GShenFSU1.7,1268,4,27752
A1268w4.50_GShenFSU2.1,GShenFSU2.1,1268,4,27749
A1268w4.50_GShenNL3,GShenNL3,1268,4,34283
A1268w4.50_HSDD2,HSDD2,1268,4,17886
A1268w4.50_HSFSG,HSFSG,1268,4,17891
A1268w4.50_HSIUF,HSIUF,1268,4,17843
A1268w4.50_HSNL3,HSNL3,1268,4,17886
A1268w4.50_HSTM1,HSTM1,1268,4,17779
A1268w4.50_HSTMA,HSTMA,1268,4,17746
A1268w4.50_HShen,HShen,1268,4,14771
A1268w4.50_HShenH,HShenH,1268,4,14753
A1268w4.50_LS180,LS180,1268,4,19604
A1268w4.50_LS220,LS220,1268,4,19402
A1268w4.50_LS375,LS375,1268,4,19148
A1268w4.50_SFHo,SFHo,1268,4,17889
A1268w4.50_SFHx,SFHx,1268,4,17882
A1268w5.00_BHBL,BHBL,1268,5,18959
A1268w5.00_BHBLP,BHBLP,1268,5,18960
A1268w5.00_GShenFSU1.7,GShenFSU1.7,1268,5,34220
A1268w5.00_GShenFSU2.1,GShenFSU2.1,1268,5,34217
A1268w5.00_GShenNL3,GShenNL3,1268,5,46566
A1268w5.00_HSDD2,HSDD2,1268,5,18976
A1268w5.00_HSFSG,HSFSG,1268,5,18926
A1268w5.00_HSIUF,HSIUF,1268,5,18782
A1268w5.00_HSNL3,HSNL3,1268,5,18975
A1268w5.00_HSTM1,HSTM1,1268,5,18971
A1268w5.00_HSTMA,HSTMA,1268,5,18982
A1268w5.00_HShen,HShen,1268,5,15265
A1268w5.00_HShenH,HShenH,1268,5,15252
A1268w5.00_LS180,LS180,1268,5,21460
A1268w5.00_LS220,LS220,1268,5,21204
A1268w5.00_LS375,LS375,1268,5,20868
A1268w5.00_SFHo,SFHo,1268,5,18973
A1268w5.00_SFHx,SFHx,1268,5,18967
A1268w5.50_BHBL,BHBL,1268,5,20508
A1268w5.50_BHBLP,BHBLP,1268,5,20512
A1268w5.50_GShenFSU1.7,GShenFSU1.7,1268,5,54018
A1268w5.50_GShenFSU2.1,GShenFSU2.1,1268,5,53932
A1268w5.50_GShenNL3,GShenNL3,1268,5,67718
A1268w5.50_HSDD2,HSDD2,1268,5,20539
A1268w5.50_HSFSG,HSFSG,1268,5,20538
A1268w5.50_HSIUF,HSIUF,1268,5,20538
A1268w5.50_HSNL3,HSNL3,1268,5,20533
A1268w5.50_HSTM1,HSTM1,1268,5,20533
A1268w5.50_HSTMA,HSTMA,1268,5,20542
A1268w5.50_HShen,HShen,1268,5,15893
A1268w5.50_HShenH,HShenH,1268,5,15878
A1268w5.50_LS180,LS180,1268,5,24645
A1268w5.50_LS220,LS220,1268,5,24380
A1268w5.50_LS375,LS375,1268,5,23838
A1268w5.50_SFHo,SFHo,1268,5,20537
A1268w5.50_SFHx,SFHx,1268,5,20526
A1268w6.00_BHBL,BHBL,1268,6,22946
A1268w6.00_BHBLP,BHBLP,1268,6,22947
A1268w6.00_GShenFSU1.7,GShenFSU1.7,1268,6,70211
A1268w6.00_GShenFSU2.1,GShenFSU2.1,1268,6,69666
A1268w6.00_GShenNL3,GShenNL3,1268,6,72421
A1268w6.00_HSDD2,HSDD2,1268,6,22990
A1268w6.00_HSFSG,HSFSG,1268,6,22993
A1268w6.00_HSIUF,HSIUF,1268,6,22991
A1268w6.00_HSNL3,HSNL3,1268,6,22990
A1268w6.00_HSTM1,HSTM1,1268,6,22987
A1268w6.00_HSTMA,HSTMA,1268,6,22954
A1268w6.00_HShen,HShen,1268,6,16713
A1268w6.00_HShenH,HShenH,1268,6,16691
A1268w6.00_LS180,LS180,1268,6,30540
A1268w6.00_LS220,LS220,1268,6,31398
A1268w6.00_LS375,LS375,1268,6,30214
A1268w6.00_SFHo,SFHo,1268,6,22989
A1268w6.00_SFHx,SFHx,1268,6,22979
A1268w6.50_BHBL,BHBL,1268,6,27507
A1268w6.50_BHBLP,BHBLP,1268,6,27510
A1268w6.50_GShenFSU1.7,GShenFSU1.7,1268,6,75982
A1268w6.50_GShenFSU2.1,GShenFSU2.1,1268,6,75657
A1268w6.50_GShenNL3,GShenNL3,1268,6,75914
A1268w6.50_HSDD2,HSDD2,1268,6,27608
A1268w6.50_HSFSG,HSFSG,1268,6,27412
A1268w6.50_HSIUF,HSIUF,1268,6,27411
A1268w6.50_HSNL3,HSNL3,1268,6,27603
A1268w6.50_HSTM1,HSTM1,1268,6,27597
A1268w6.50_HSTMA,HSTMA,1268,6,27618
A1268w6.50_HShen,HShen,1268,6,17824
A1268w6.50_HShenH,HShenH,1268,6,17795
A1268w6.50_LS180,LS180,1268,6,73946
A1268w6.50_LS220,LS220,1268,6,67191
A1268w6.50_LS375,LS375,1268,6,74107
A1268w6.50_SFHo,SFHo,1268,6,27606
A1268w6.50_SFHx,SFHx,1268,6,27586
A300w0.50_BHBL,BHBL,300,0,14953
A300w0.50_BHBLP,BHBLP,300,0,14951
A300w0.50_GShenFSU1.7,GShenFSU1.7,300,0,18444
A300w0.50_GShenFSU2.1,GShenFSU2.1,300,0,18464
A300w0.50_GShenNL3,GShenNL3,300,0,19631
A300w0.50_HSDD2,HSDD2,300,0,14956
A300w0.50_HSFSG,HSFSG,300,0,14957
A300w0.50_HSIUF,HSIUF,300,0,14956
A300w0.50_HSNL3,HSNL3,300,0,14958
A300w0.50_HSTM1,HSTM1,300,0,14953
A300w0.50_HSTMA,HSTMA,300,0,14957
A300w0.50_HShen,HShen,300,0,13180
A300w0.50_HShenH,HShenH,300,0,13169
A300w0.50_LS180,LS180,300,0,15541
A300w0.50_LS220,LS220,300,0,15445
A300w0.50_LS375,LS375,300,0,15324
A300w0.50_SFHo,SFHo,300,0,14954
A300w0.50_SFHx,SFHx,300,0,14954
A300w1.00_BHBL,BHBL,300,1,14961
A300w1.00_BHBLP,BHBLP,300,1,14963
A300w1.00_GShenFSU1.7,GShenFSU1.7,300,1,18490
A300w1.00_GShenFSU2.1,GShenFSU2.1,300,1,18491
A300w1.00_GShenNL3,GShenNL3,300,1,19525
A300w1.00_HSDD2,HSDD2,300,1,14970
A300w1.00_HSFSG,HSFSG,300,1,14969
A300w1.00_HSIUF,HSIUF,300,1,14968
A300w1.00_HSNL3,HSNL3,300,1,14966
A300w1.00_HSTM1,HSTM1,300,1,14969
A300w1.00_HSTMA,HSTMA,300,1,14972
A300w1.00_HShen,HShen,300,1,13190
A300w1.00_HShenH,HShenH,300,1,13176
A300w1.00_LS180,LS180,300,1,15558
A300w1.00_LS220,LS220,300,1,15461
A300w1.00_LS375,LS375,300,1,15338
A300w1.00_SFHo,SFHo,300,1,14969
A300w1.00_SFHx,SFHx,300,1,14965
A300w1.50_BHBL,BHBL,300,1,14986
A300w1.50_BHBLP,BHBLP,300,1,14986
A300w1.50_GShenFSU1.7,GShenFSU1.7,300,1,18529
A300w1.50_GShenFSU2.1,GShenFSU2.1,300,1,18513
A300w1.50_GShenNL3,GShenNL3,300,1,19610
A300w1.50_HSDD2,HSDD2,300,1,14988
A300w1.50_HSFSG,HSFSG,300,1,14989
A300w1.50_HSIUF,HSIUF,300,1,14990
A300w1.50_HSNL3,HSNL3,300,1,14990
A300w1.50_HSTM1,HSTM1,300,1,14990
A300w1.50_HSTMA,HSTMA,300,1,14994
A300w1.50_HShen,HShen,300,1,13199
A300w1.50_HShenH,HShenH,300,1,13190
A300w1.50_LS180,LS180,300,1,15589
A300w1.50_LS220,LS220,300,1,15489
A300w1.50_LS375,LS375,300,1,15363
A300w1.50_SFHo,SFHo,300,1,14989
A300w1.50_SFHx,SFHx,300,1,14985
A300w10.00_BHBL,BHBL,300,10,16879
A300w10.00_BHBLP,BHBLP,300,10,16878
A300w10.00_GShenFSU1.7,GShenFSU1.7,300,10,22889
A300w10.00_GShenFSU2.1,GShenFSU2.1,300,10,22892
A300w10.00_GShenNL3,GShenNL3,300,10,25366
A300w10.00_HSDD2,HSDD2,300,10,16890
A300w10.00_HSFSG,HSFSG,300,10,16890
A300w10.00_HSIUF,HSIUF,300,10,16889
A300w10.00_HSNL3,HSNL3,300,10,16890
A300w10.00_HSTM1,HSTM1,300,10,16890
A300w10.00_HSTMA,HSTMA,300,10,16892
A300w10.00_HShen,HShen,300,10,14394
A300w10.00_HShenH,HShenH,300,10,14254
A300w10.00_LS180,LS180,300,10,18204
A300w10.00_LS220,LS220,300,10,18086
A300w10.00_LS375,LS375,300,10,17921
A300w10.00_SFHo,SFHo,300,10,16892
A300w10.00_SFHx,SFHx,300,10,16883
A300w10.50_BHBL,BHBL,300,10,17122
A300w10.50_BHBLP,BHBLP,300,10,17117
A300w10.50_GShenFSU1.7,GShenFSU1.7,300,10,23526
A300w10.50_GShenFSU2.1,GShenFSU2.1,300,10,23526
A300w10.50_GShenNL3,GShenNL3,300,10,26199
