name,EOS,A(km),omega_0(rad/s),beta1_IC_b,tbounce_s,ndata
A1268w1.50_HSDD2,BHBL,1268.0,4.0,0.0592044227455,0.207106956133,15194
A1268w1.50_HSFSG,BHBL,1268.0,4.5,0.0737041919249,0.21933414327599998,15197
A1268w1.50_HSIUF,BHBL,1268.0,5.0,0.0878051864648,0.235918527232,15195
A1268w1.50_HSNL3,BHBL,1268.0,5.5,0.102817686853,0.259693892237,15194
A1268w1.50_HSTM1,BHBL,1268.0,6.0,0.117543782568,0.296942829767,15190
A1268w1.50_HSTMA,BHBL,1268.0,6.5,0.133527525116,0.36676732395,15199
A1268w1.50_HShen,BHBL,10000.0,0.5,0.00114322776886,0.174882934169,13322
A1268w1.50_HShenH,BHBL,10000.0,1.0,0.00449633370734,0.176692783924,13314
A1268w1.50_LS180,BHBL,10000.0,1.5,0.00991134862959,0.179849504607,15840
A1268w1.50_LS220,BHBL,10000.0,2.0,0.0174696752425,0.18459722542,15738
A1268w1.50_LS375,BHBL,10000.0,2.5,0.0264353919422,0.191300401746,15604
A1268w1.50_SFHo,BHBL,10000.0,3.0,0.0370911816226,0.200694099935,15195
A1268w1.50_SFHx,BHBL,10000.0,3.5,0.0507293067366,0.21404899981,15189
A1268w2.00_BHBL,BHBL,10000.0,4.0,0.063403741588,0.233927348421,15387
A1268w2.00_BHBLP,BHBL,10000.0,4.5,0.0759966292258,0.267152533192,15391
A1268w2.00_GShenFSU1.7,BHBL,10000.0,5.0,0.0896640291247,0.341127346762,19456
A1268w2.00_GShenNL3,BHBLP,300.0,0.5,0.000368364998205,0.17436710581200002,20918
A1268w2.00_HSDD2,BHBLP,300.0,1.0,0.00146772324103,0.174564926038,15392
A1268w2.00_HSFSG,BHBLP,300.0,1.5,0.0032822183521,0.174879327023,15395
A1268w2.00_HSIUF,BHBLP,300.0,2.0,0.00578550769017,0.175328540927,15394
A1268w2.00_HSNL3,BHBLP,300.0,2.5,0.00894201374762,0.17590569398,15396
A1268w2.00_HSTM1,BHBLP,300.0,3.0,0.0127677706119,0.176621745808,15389
A1268w2.00_HSTMA,BHBLP,300.0,3.5,0.0171930033878,0.17747364439899999,15398
A1268w2.00_HShen,BHBLP,300.0,4.0,0.0223229515938,0.178482674941,13437
A1268w2.00_HShenH,BHBLP,300.0,4.5,0.0277997411603,0.17961699456799998,13431
A1268w2.00_LS180,BHBLP,300.0,5.0,0.0338319912136,0.180906542269,16093
A1268w2.00_LS220,BHBLP,300.0,5.5,0.0407596797342,0.18236574614599999,15981
A1268w2.00_LS375,BHBLP,300.0,6.0,0.0475996451626,0.183977229725,15844
A1268w2.00_SFHo,BHBLP,300.0,6.5,0.0548462945608,0.18575688234200002,15389
A1268w2.00_SFHx,BHBLP,300.0,7.0,0.0631844379959,0.18774353361499999,15388
A1268w2.50_BHBL,BHBLP,300.0,7.5,0.0709433101071,0.189894993182,15662
A1268w2.50_BHBLP,BHBLP,300.0,8.0,0.0796983879822,0.192263365297,15656
A1268w2.50_GShenFSU1.7,BHBLP,300.0,8.5,0.0886978964945,0.19486031908,20116
A1268w2.50_GShenFSU2.1,BHBLP,300.0,9.0,0.0976272252127,0.197681860178,19975
A1268w2.50_GShenNL3,BHBLP,300.0,9.5,0.107754522039,0.200776271621,21798
A1268w2.50_HSDD2,BHBLP,300.0,10.0,0.11775101501,0.204155221401,15661
A1268w2.50_HSFSG,BHBLP,300.0,10.5,0.127911482862,0.207839397674,15663
A1268w2.50_HSIUF,BHBLP,300.0,11.0,0.138135848295,0.211860283554,15668
A1268w2.50_HSNL3,BHBLP,300.0,11.5,0.147671303332,0.21623785627,15663
A1268w2.50_HSTM1,BHBLP,300.0,12.0,0.157803283884,0.221053185475,15662
A1268w2.50_HSTMA,BHBLP,300.0,12.5,0.16651112643,0.22630829359399998,15666
A1268w2.50_HShen,BHBLP,300.0,13.0,0.175386973823,0.232097669287,13602
A1268w2.50_HShenH,BHBLP,300.0,13.5,0.183522039616,0.23848866406299998,13592
A1268w2.50_LS180,BHBLP,300.0,14.0,0.191167600994,0.245532731942,16439
A1268w2.50_LS220,BHBLP,300.0,14.5,0.19560571049,0.253270900082,16318
A1268w2.50_LS375,BHBLP,300.0,15.0,0.200688355064,0.2618668273,16173
A1268w2.50_SFHo,BHBLP,300.0,15.5,0.20358940347,0.271455794283,15663
A1268w2.50_SFHx,BHBLP,467.0,0.5,0.000638038007046,0.17444628895,15658
A1268w3.00_BHBL,BHBLP,467.0,1.0,0.00253459760675,0.174865570414,16015
A1268w3.00_BHBLP,BHBLP,467.0,1.5,0.00563588410056,0.17556915237600002,16018
A1268w3.00_GShenFSU1.7,BHBLP,467.0,2.0,0.00988801094783,0.176565883846,21048
A1268w3.00_GShenFSU2.1,BHBLP,467.0,2.5,0.0152576702217,0.177872274133,20914
A1268w3.00_GShenNL3,BHBLP,467.0,3.0,0.0218678553894,0.179512694042,23095
A1268w3.00_HSDD2,BHBLP,467.0,3.5,0.029108837014,0.181471143976,16022
A1268w3.00_HSFSG,BHBLP,467.0,4.0,0.0378668023737,0.183815030801,16023
A1268w3.00_HSIUF,BHBLP,467.0,4.5,0.0467549569553,0.186528370905,16022
A1268w3.00_HSNL3,BHBLP,467.0,5.0,0.0572580968334,0.18969803271000002,16021
A1268w3.00_HSTM1,BHBLP,467.0,5.5,0.0684044213729,0.19334255559400002,16018
A1268w3.00_HSTMA,BHBLP,467.0,6.0,0.0803366655454,0.197523280736,16025
A1268w3.00_HShen,BHBLP,467.0,6.5,0.0915599741302,0.20229060049,13800
A1268w3.00_HShenH,BHBLP,467.0,7.0,0.105501711776,0.20779745622100002,13792
A1268w3.00_LS180,BHBLP,467.0,7.5,0.118008370655,0.214108594006,16907
A1268w3.00_LS220,BHBLP,467.0,8.0,0.132068581689,0.221402126768,16779
